Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-02-18,2034.854736328125,2039.6761229311817,2007.5795083868845,2020.3446137095418,2486223
2020-02-19,2017.0380859375,2047.9407797693484,2011.665595553703,2034.854162678894,1760463
2020-02-20,1980.71728515625,2033.6146436957474,1975.6203464514772,2024.5229767587593,2317278
2020-02-24,1942.6513671875,2001.0588821052181,1934.7074249942614,1979.9825817470282,3092877
2020-02-25,1980.120361328125,1998.9467274184894,1938.6565276467772,1942.7891445934424,2674567
2020-02-26,1950.227783203125,1987.2374814254804,1940.4471227143943,1978.1458145795957,2686842
2020-02-27,1933.6051025390625,1946.8753468123361,1915.8807269069962,1946.8753468123361,2349001
2020-02-28,1836.856201171875,1900.5443901333329,1827.534832744785,1899.166851314681,4298076
2020-03-02,1837.912353515625,1886.2638768095114,1823.5858599869505,1868.861014416288,2667076
2020-03-03,1869.963134765625,1891.8201306311842,1847.7388848689043,1855.0857591626175,2757585
2020-03-04,1913.1263427734375,1923.457886485357,1859.6778681455426,1888.1470108183878,3237002
2020-03-05,1951.55908203125,1972.4057890984875,1913.9063583189754,1915.4215611751083,3937056
2020-03-06,1943.6617431640625,1950.2738861243408,1902.4734578391178,1926.718056763086,2595027
2020-03-09,1811.325927734375,1910.0954023579068,1777.0252305880906,1905.5955315091928,4940975
2020-03-11,1794.1983642578125,1825.05532375028,1763.2497033685709,1775.188373235129,6796449
2020-03-12,1625.3577880859375,1752.5964828956069,1614.7966587129238,1748.5556805407084,8728786
2020-03-13,1658.8323974609375,1671.4138746425847,1383.0950261085002,1550.0986372611108,8029720
2020-03-16,1557.9046630859375,1691.8473380483388,1539.0323355480753,1611.720493024744,7844271
2020-03-17,1522.64013671875,1589.6803839928566,1490.6353287628892,1588.7620244411564,5713248
2020-03-18,1519.333740234375,1573.654718535739,1494.8594409882205,1539.9050122194635,7258778
2020-03-19,1513.73681640625,1559.1576871478333,1430.8506466888161,1442.8302465005931,5135111
2020-03-20,1662.7655029296875,1728.954245957985,1505.0875110613383,1507.862718518735,8547498
2020-03-23,1544.587646484375,1618.8707315051079,1496.5303576527933,1498.6117628790141,7003490
2020-03-24,1575.53173828125,1637.3725959445119,1510.4993239056946,1529.18579077735,6350865
2020-03-25,1619.1485595703125,1674.3751420131787,1554.1161539127847,1572.6175366974608,2765520
2020-03-26,1656.75244140625,1694.7728713403596,1593.4778059951338,1694.356522495816,4556067
2020-03-27,1687.78857421875,1711.3778362864828,1619.240976441916,1683.625763265621,4331250
2020-03-30,1645.2353515625,1762.2565896691383,1631.4056140465584,1633.6719881132274,8513547
2020-03-31,1689.2689208984375,1716.0034445874908,1646.6232514100989,1699.722248506561,3927593
2020-04-01,1580.7119140625,1697.2706272574526,1574.467697284199,1689.0837878439318,4941878
2020-04-03,1530.2493896484375,1609.6203703198075,1526.364144268783,1609.6203703198075,5735369
2020-04-07,1642.1827392578125,1652.0347484660722,1577.2429289366748,1581.8682747693338,5427577
2020-04-08,1577.6591796875,1670.674930423964,1573.5426670272218,1628.1217483644389,6285615
2020-04-09,1633.810791015625,1645.5129375539198,1601.4795586624637,1619.2871385918556,5307397
2020-04-13,1627.4276123046875,1653.0982766454322,1615.1704482500977,1629.0464830288786,2990438
2020-04-15,1605.1336669921875,1676.2252045450693,1598.3344317107642,1651.2483389144309,4761399
2020-04-16,1587.464599609375,1632.654194742346,1549.5367730704982,1581.8215887367785,6245533
2020-04-17,1670.85986328125,1713.181777139968,1621.6462293843294,1665.124479687275,9895823
2020-04-20,1682.3770751953125,1692.876587731244,1667.437185456594,1692.876587731244,3244282
2020-04-21,1607.4462890625,1660.1289273310374,1598.2417840791404,1632.7469054949659,5122541
2020-04-22,1636.9097900390625,1655.873706792835,1590.3325829382718,1607.4463614721644,3829836
2020-04-23,1737.5111083984375,1757.6313621493578,1628.907969015671,1646.6230655925563,5934366
2020-04-24,1682.2847900390625,1713.1820137574246,1672.3402952452163,1702.774984322004,2987102
2020-04-27,1698.9820556640625,1734.504735226192,1688.2512756201602,1695.004325892035,3374741
2020-04-28,1719.7498779296875,1728.0292017945887,1695.2817307390528,1725.25399429706,2678505
2020-04-29,1762.85791015625,1769.240909375816,1711.4240920309614,1733.5794512681211,4241510
2020-04-30,1863.50537109375,1879.740378687333,1796.6691297747736,1831.6367863193502,5915544
2020-05-04,1785.7996826171875,1818.685935832793,1770.258588762938,1818.685935832793,3729348
2020-05-05,1787.9273681640625,1828.8616773304107,1782.6082206452713,1808.6026407176241,2905528
2020-05-06,1760.9615478515625,1807.3074880105407,1751.7108566851607,1794.449117628023,3517431
2020-05-07,1749.9071044921875,1789.4999969081302,1742.2289852711297,1766.882101045811,3166754
2020-05-08,1751.525634765625,1794.1712922916022,1744.9113689533563,1793.801242113759,2686530
2020-05-11,1790.2862548828125,1805.179844645757,1765.956892648646,1765.956892648646,2449841
2020-05-12,1803.42236328125,1809.8978475300157,1767.1133980292423,1788.5287720937856,3256595
2020-05-13,1803.560791015625,1844.5875784121663,1781.359135106953,1844.5875784121663,2656665
2020-05-14,1759.805419921875,1779.000606366016,1749.398391126859,1766.882222087184,2263146
2020-05-15,1751.0633544921875,1773.7275478630647,1725.4388721922528,1772.4324285143193,3173682
2020-05-18,1799.8148193359375,1806.6140561509687,1731.8222253386273,1764.1071667057233,3727694
2020-05-19,1802.6357421875,1819.1019027499133,1760.4063194540543,1760.4063194540543,3198693
2020-05-20,1807.2149658203125,1815.81815359421,1786.9559300056478,1803.8847396548754,2778505
2020-05-21,1841.9974365234375,1848.2879511963956,1795.6977985931437,1800.184360874968,3400908
2020-05-22,1868.9637451171875,1879.7408250898284,1814.2921718540483,1828.9544977327705,3663418
2020-05-26,1797.4093017578125,1872.3399005444223,1780.7580575830104,1864.0142784570212,4575317
2020-05-27,1855.0411376953125,1859.3889173575542,1795.790415831021,1812.2103925887805,3482160
2020-05-28,1854.115966796875,1863.0890915320856,1823.5886877399937,1839.4998304426772,3475681
2020-05-29,1824.56005859375,1852.5896981351877,1815.3556660073036,1833.4869981979257,7237735
2020-06-01,1891.9976806640625,1905.642450638293,1832.6544720558486,1840.8876100826228,3747773
2020-06-02,1893.7552490234375,1925.0688157775558,1887.1872809344081,1905.8273331414798,2443886
2020-06-03,1898.39453125,1914.7235867952038,1874.1328384379462,1903.6829938463788,3699799
2020-06-04,1940.51611328125,1948.3558809285269,1898.9511425192677,1898.9511425192677,4048593
2020-06-05,1900.3426513671875,1946.50012575045,1892.966778652333,1940.5623704039772,3573289
2020-06-08,1922.1453857421875,1943.716463439065,1913.1923193669484,1928.1760096144328,2957841
2020-06-09,1922.424072265625,1944.1806657667144,1911.4761234291927,1914.120411073587,2909439
2020-06-10,1956.4737548828125,1978.0448348121665,1923.7692143447596,1927.0629084103334,5168397
2020-06-11,1918.341552734375,1952.9945393214434,1912.9141266194838,1948.3555974228177,2269513
2020-06-12,1892.224365234375,1901.2238670480576,1865.782396904304,1865.9679092746298,2842642
2020-06-15,1883.317626953125,1910.316245754916,1856.458085801913,1891.8532346188777,2399022
2020-06-16,1898.069580078125,1924.186733292315,1884.338266267459,1915.8830723004935,2146528
2020-06-17,1899.925048828125,1910.1771555078483,1880.2095461789763,1898.2549844780312,2703527
2020-06-18,1890.92578125,1910.502096591314,1878.9572865561652,1897.3275447611616,1944389
2020-06-19,1896.955810546875,1939.0774192427496,1885.2657013881662,1894.5435837768875,5681758
2020-06-22,1881.508056640625,1904.0533554634374,1873.34358833947,1901.9658319893028,3196138
2020-06-23,1888.32763671875,1896.3993499019803,1864.8545466257242,1880.6269482638522,4205944
2020-06-24,1894.7296142578125,1915.1873958215156,1884.8950788874827,1887.1217939207763,2560937
2020-06-25,1870.51416015625,1911.2440933401656,1864.1588323027804,1888.0493834695324,3043931
2020-06-26,1965.8443603515625,1978.0446860802347,1874.0859601611428,1878.7713364505041,6300722
2020-06-29,1949.886474609375,1973.962765716132,1940.2840002097143,1955.7780217783695,3076341
2020-06-30,1931.794189453125,1959.3958895379935,1925.2070288687626,1948.3553001083662,3071725
2020-07-01,1940.979736328125,1961.298211357245,1929.3359467930877,1929.5214591679382,2503466
2020-07-02,2001.37890625,2008.662136703364,1946.5003061448765,1950.2114602080699,3758699
2020-07-03,2040.8095703125,2045.7733286302885,2004.2547996252067,2007.4091894369035,4185208
2020-07-06,2099.770751953125,2105.986889198503,2045.7735100512218,2045.7735100512218,5190366
2020-07-07,2105.987060546875,2136.4185691548155,2070.9630440897804,2110.718872579863,5630055
2020-07-08,2058.66943359375,2110.1616858777616,2048.1856066797172,2106.0795078325473,2793358
2020-07-09,2045.170166015625,2082.4207744961855,2032.830536707761,2068.0400562940513,3443998
2020-07-10,2061.870361328125,2087.384538863124,2018.8672842239034,2046.0050912384022,9610320
2020-07-13,2059.690185546875,2082.838460122814,2050.4123018281953,2059.690185546875,2963503
2020-07-14,2015.110107421875,2077.318369183977,2008.6620229045602,2050.4125037501517,2976738
2020-07-15,2072.58642578125,2096.8017937380478,2023.5993792424144,2027.2176634148827,5569321
2020-07-16,2078.026123046875,2169.38581276132,2064.403623988637,2086.6274169894564,8582118
2020-07-17,2046.4105224609375,2086.5343048984755,2036.460963143458,2080.118295465236,4509135
2020-07-20,2053.058837890625,2070.7263589039253,2037.1582051900111,2046.642828961787,2952646
2020-07-21,2069.006591796875,2081.6526833246226,2046.7825700733515,2073.6094013422494,2665286
2020-07-22,2037.298095703125,2074.5394248200746,2031.0214748525937,2074.5394248200746,2861534
2020-07-23,2018.9332275390625,2037.298155754161,2011.3083407219083,2037.298155754161,2265766
