Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2020-01-01,181.74856567382812,183.96561245903823,180.91102368726854,182.438310555498,25968357
2020-01-02,190.91238403320312,191.84846755430343,181.8963987497601,182.29053443170363,57289863
2020-01-03,188.3011932373047,192.7845428096071,186.47828195702147,190.07481876531747,47572728
2020-01-06,182.93099975585938,188.20265069790983,182.33979626176506,188.20265069790983,28621212
2020-01-07,181.9949188232422,186.6260805839244,179.63007474319951,184.26123650388172,34995035
2020-01-08,179.8764190673828,181.50224754517527,177.5608305950724,177.5608305950724,21862695
2020-01-09,189.18800354003906,189.92701917886734,181.5515086054802,182.14272713066748,40803142
2020-01-10,193.47430419921875,196.085486828794,187.21729898226562,189.18800739260524,60252338
2020-01-13,193.37576293945312,194.8537942485445,188.59678902593294,191.89773163036176,40535961
2020-01-14,192.9816436767578,195.34648795821747,190.7645965246469,192.8338315120958,29867542
2020-01-15,197.4157257080078,198.74594489538913,191.15872034246706,192.1440745710365,38485962
2020-01-16,194.65673828125,197.66207180001226,194.0162489870771,196.57817609314296,28118140
2020-01-17,194.410400390625,196.528906056047,192.8338275452089,194.36112967008458,18204088
2020-01-20,192.14407348632812,198.4996052176596,191.4543285372858,195.10013615534854,28976013
2020-01-21,188.59678649902344,193.52355746331676,187.4143644746554,192.6367447038687,20859400
2020-01-22,182.88174438476562,189.6806823079115,181.551510209001,189.13873449425512,32952072
2020-01-23,185.64073181152344,187.61144028101015,181.10811135289146,184.01490333832186,33032086
2020-01-24,183.7685546875,188.2026485003351,182.29052341655495,185.24658595844502,21791825
2020-01-27,179.53152465820312,184.1626861957443,178.20130556551442,182.98026421269503,30132428
2020-01-28,173.5208740234375,181.60077514855223,172.33843700023573,181.2066244623812,38283588
2020-01-29,185.2958526611328,186.1333946753407,175.93498814789874,176.18132668772068,61585660
2020-01-30,183.47296142578125,189.729967032541,181.5515236130584,188.15339419192523,70900581
2020-01-31,174.01356506347656,185.5914774011316,173.37307578531238,183.57149819898885,75621897
2020-02-03,161.45028686523438,165.8351099172959,157.2132609246367,161.10540689140342,66616190
2020-02-04,163.273193359375,166.1307296555333,158.83909931200645,164.11075047133625,49034642
2020-02-05,181.058837890625,182.24125994733808,164.1600190349582,164.94829038255878,92982265
2020-02-06,176.23060607910156,180.7139556963406,173.17600202079768,179.3344658195458,61821140
2020-02-07,171.0574951171875,175.54084469849406,170.46627658312127,174.80182904856724,45195760
2020-02-10,166.42633056640625,170.66335694408036,165.53951773551972,170.66335694408036,33279372
2020-02-11,167.26388549804688,172.58479248356508,165.93365123401094,169.33313545647772,42868276
2020-02-12,168.44630432128906,170.7618927994189,166.52486656034756,170.46628352035577,34621395
2020-02-13,167.01751708984375,169.8257822408767,165.6380273875915,168.84042815775075,25049848
2020-02-14,166.62339782714844,173.61940348291282,165.83511147620428,169.48091893459548,56676430
2020-02-17,166.62339782714844,168.8404447318161,163.91367383255462,167.90434623270716,32893274
2020-02-18,159.23324584960938,165.53950675966217,156.27718322890112,165.53950675966217,52744122
2020-02-19,155.7352294921875,162.18930230929453,150.80845864482512,160.4649325127177,78914233
2020-02-20,156.17864990234375,159.92299909003032,153.71526425719637,155.63670205334876,54328194
2020-02-24,148.443603515625,153.616713041222,147.40899363875505,151.74454608417827,39706007
2020-02-25,147.70457458496094,151.15331395852198,145.2904600305303,149.970892037506,52719851
2020-02-26,142.4329376220703,145.7338648233696,141.5953806261215,144.7485107271053,47605927
2020-02-27,143.12269592285156,144.60072720604796,139.0334820534662,142.03880030104952,51328153
2020-02-28,127.0614242553711,137.55545576857023,125.18925724275212,136.81644010011868,94469619
